127.0.0.1 - - [28/Nov/2023:07:41:17 -1200] "GET / HTTP/1.1" 200 11435
0:0:0:0:0:0:0:1 - - [28/Nov/2023:07:41:30 -1200] "GET /sapphire_inventory HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Nov/2023:07:41:30 -1200] "GET /sapphire_inventory/ HTTP/1.1" 200 1641
0:0:0:0:0:0:0:1 - - [28/Nov/2023:07:41:30 -1200] "GET /sapphire_inventory/css/login.css HTTP/1.1" 200 3690
0:0:0:0:0:0:0:1 - - [28/Nov/2023:07:41:30 -1200] "GET /sapphire_inventory/css/styles.css HTTP/1.1" 200 1360
0:0:0:0:0:0:0:1 - - [28/Nov/2023:07:41:30 -1200] "GET /sapphire_inventory/img/mainPicture.jpg HTTP/1.1" 404 734
0:0:0:0:0:0:0:1 - - [28/Nov/2023:07:41:31 -1200] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [28/Nov/2023:08:21:18 -1200] "GET /sapphire_inventory/ HTTP/1.1" 500 2854
0:0:0:0:0:0:0:1 - - [28/Nov/2023:08:21:18 -1200] "GET /favicon.ico HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2023:08:24:48 -1200] "GET /sapphire_inventory/ HTTP/1.1" 500 3106
0:0:0:0:0:0:0:1 - - [28/Nov/2023:08:34:51 -1200] "GET /sapphire_inventory/ HTTP/1.1" 500 3106
0:0:0:0:0:0:0:1 - - [28/Nov/2023:08:34:51 -1200] "GET /favicon.ico HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2023:08:34:52 -1200] "GET /sapphire_inventory/ HTTP/1.1" 500 2879
0:0:0:0:0:0:0:1 - - [28/Nov/2023:08:34:52 -1200] "GET /sapphire_inventory/ HTTP/1.1" 500 2879
0:0:0:0:0:0:0:1 - - [28/Nov/2023:08:35:00 -1200] "GET /sapphire_inventory/ HTTP/1.1" 500 3106
0:0:0:0:0:0:0:1 - - [28/Nov/2023:08:35:01 -1200] "GET /sapphire_inventory/ HTTP/1.1" 500 2879
0:0:0:0:0:0:0:1 - - [28/Nov/2023:08:35:02 -1200] "GET /sapphire_inventory/ HTTP/1.1" 500 2879
0:0:0:0:0:0:0:1 - - [28/Nov/2023:08:35:02 -1200] "GET /sapphire_inventory/ HTTP/1.1" 500 2879
0:0:0:0:0:0:0:1 - - [28/Nov/2023:08:35:03 -1200] "GET /sapphire_inventory/ HTTP/1.1" 500 2879
0:0:0:0:0:0:0:1 - - [28/Nov/2023:08:35:03 -1200] "GET /sapphire_inventory/ HTTP/1.1" 500 2879
0:0:0:0:0:0:0:1 - - [28/Nov/2023:08:35:03 -1200] "GET /sapphire_inventory/ HTTP/1.1" 500 2879
0:0:0:0:0:0:0:1 - - [28/Nov/2023:08:35:04 -1200] "GET /sapphire_inventory/ HTTP/1.1" 500 2879
0:0:0:0:0:0:0:1 - - [28/Nov/2023:08:35:04 -1200] "GET /sapphire_inventory/ HTTP/1.1" 500 3106
0:0:0:0:0:0:0:1 - - [28/Nov/2023:08:35:04 -1200] "GET /sapphire_inventory/ HTTP/1.1" 500 2879
0:0:0:0:0:0:0:1 - - [28/Nov/2023:08:35:05 -1200] "GET /sapphire_inventory/ HTTP/1.1" 500 2879
0:0:0:0:0:0:0:1 - - [28/Nov/2023:08:35:05 -1200] "GET /sapphire_inventory/ HTTP/1.1" 500 2879
0:0:0:0:0:0:0:1 - - [28/Nov/2023:08:39:20 -1200] "GET /sapphire_inventory/ HTTP/1.1" 500 3108
0:0:0:0:0:0:0:1 - - [28/Nov/2023:08:45:33 -1200] "GET /sapphire_inventory/ HTTP/1.1" 500 3108
0:0:0:0:0:0:0:1 - - [28/Nov/2023:08:45:33 -1200] "GET /favicon.ico HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2023:08:45:34 -1200] "GET /sapphire_inventory/ HTTP/1.1" 500 2879
0:0:0:0:0:0:0:1 - - [28/Nov/2023:08:45:34 -1200] "GET /sapphire_inventory/ HTTP/1.1" 500 2879
0:0:0:0:0:0:0:1 - - [28/Nov/2023:08:45:35 -1200] "GET /sapphire_inventory/ HTTP/1.1" 500 2879
0:0:0:0:0:0:0:1 - - [28/Nov/2023:08:45:36 -1200] "GET /sapphire_inventory/ HTTP/1.1" 500 2879
0:0:0:0:0:0:0:1 - - [28/Nov/2023:08:45:36 -1200] "GET /sapphire_inventory/ HTTP/1.1" 500 2879
0:0:0:0:0:0:0:1 - - [28/Nov/2023:08:45:36 -1200] "GET /sapphire_inventory/ HTTP/1.1" 500 2879
0:0:0:0:0:0:0:1 - - [28/Nov/2023:08:45:42 -1200] "GET /sapphire_inventory HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Nov/2023:08:45:42 -1200] "GET /sapphire_inventory/ HTTP/1.1" 500 3108
0:0:0:0:0:0:0:1 - - [28/Nov/2023:10:09:58 -1200] "GET /sapphire_inventory/ HTTP/1.1" 500 15398
0:0:0:0:0:0:0:1 - - [28/Nov/2023:10:09:58 -1200] "GET /favicon.ico HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2023:10:24:09 -1200] "GET /sapphire_inventory/ HTTP/1.1" 500 3549
0:0:0:0:0:0:0:1 - - [28/Nov/2023:10:25:02 -1200] "GET /sapphire_inventory/ HTTP/1.1" 500 15499
